Day,Number of Bicycle Hires
01/01/2018,10235
02/01/2018,14394
03/01/2018,20265
04/01/2018,17543
05/01/2018,21759
06/01/2018,13920
07/01/2018,12259
08/01/2018,23374
09/01/2018,24683
10/01/2018,26787
11/01/2018,25222
12/01/2018,24696
13/01/2018,17512
14/01/2018,15070
15/01/2018,19161
16/01/2018,26921
17/01/2018,26934
18/01/2018,26471
19/01/2018,25799
20/01/2018,9398
21/01/2018,5859
22/01/2018,26337
23/01/2018,26003
24/01/2018,20206
25/01/2018,28189
26/01/2018,26430
27/01/2018,14472
28/01/2018,17512
29/01/2018,26371
30/01/2018,28002
31/01/2018,24117
01/02/2018,25525
02/02/2018,25331
03/02/2018,8975
04/02/2018,13833
05/02/2018,23898
06/02/2018,25349
07/02/2018,25388
08/02/2018,25791
09/02/2018,21037
10/02/2018,9956
11/02/2018,14621
12/02/2018,24719
13/02/2018,20931
14/02/2018,18866
15/02/2018,25264
16/02/2018,25411
17/02/2018,23169
18/02/2018,18624
19/02/2018,19879
20/02/2018,25055
21/02/2018,26434
22/02/2018,26179
23/02/2018,23067
24/02/2018,16522
25/02/2018,14037
26/02/2018,19204
27/02/2018,18741
28/02/2018,10619
01/03/2018,8744
02/03/2018,8234
03/03/2018,7924
04/03/2018,10853
05/03/2018,24818
06/03/2018,26301
07/03/2018,22044
08/03/2018,25967
09/03/2018,18912
10/03/2018,18717
11/03/2018,16259
12/03/2018,19996
13/03/2018,28069
14/03/2018,28769
15/03/2018,25318
16/03/2018,28308
17/03/2018,8106
18/03/2018,6624
19/03/2018,20488
20/03/2018,24582
21/03/2018,27719
22/03/2018,27228
23/03/2018,26894
24/03/2018,18804
25/03/2018,19723
26/03/2018,29486
27/03/2018,22603
28/03/2018,15800
29/03/2018,20237
30/03/2018,6362
31/03/2018,11032
01/04/2018,13504
02/04/2018,7998
03/04/2018,22708
04/04/2018,23173
05/04/2018,30508
06/04/2018,30690
07/04/2018,25909
08/04/2018,9759
09/04/2018,16324
10/04/2018,26751
11/04/2018,24883
12/04/2018,26473
13/04/2018,27363
14/04/2018,34235
15/04/2018,21324
16/04/2018,30730
17/04/2018,33025
18/04/2018,40544
19/04/2018,43585
20/04/2018,45048
21/04/2018,42328
22/04/2018,38395
23/04/2018,35940
24/04/2018,33430
25/04/2018,33426
26/04/2018,34995
27/04/2018,21387
28/04/2018,17368
29/04/2018,15822
30/04/2018,17112
01/05/2018,34598
02/05/2018,23727
03/05/2018,35477
04/05/2018,36447
05/05/2018,39070
06/05/2018,40606
07/05/2018,45435
08/05/2018,41579
09/05/2018,41130
10/05/2018,38054
11/05/2018,38386
12/05/2018,16717
13/05/2018,29190
14/05/2018,38095
15/05/2018,42106
16/05/2018,34627
17/05/2018,37549
18/05/2018,37305
19/05/2018,36895
20/05/2018,39964
21/05/2018,38800
22/05/2018,41242
23/05/2018,38229
24/05/2018,31970
25/05/2018,35108
26/05/2018,33573
27/05/2018,33192
28/05/2018,36742
29/05/2018,24312
30/05/2018,34884
31/05/2018,37677
01/06/2018,37293
02/06/2018,38293
03/06/2018,39871
04/06/2018,35255
05/06/2018,37048
06/06/2018,41592
07/06/2018,37841
08/06/2018,39576
09/06/2018,36466
10/06/2018,38562
11/06/2018,41027
12/06/2018,38487
13/06/2018,40569
14/06/2018,37871
15/06/2018,39862
16/06/2018,31329
17/06/2018,26769
18/06/2018,39768
19/06/2018,41862
20/06/2018,41134
21/06/2018,41533
22/06/2018,41765
23/06/2018,38772
24/06/2018,38982
25/06/2018,44565
26/06/2018,46084
27/06/2018,44788
28/06/2018,43075
29/06/2018,43081
30/06/2018,38522
01/07/2018,37334
02/07/2018,42556
03/07/2018,44655
04/07/2018,43511
05/07/2018,44052
06/07/2018,43143
07/07/2018,36308
08/07/2018,38196
09/07/2018,41893
10/07/2018,43535
11/07/2018,44003
12/07/2018,41826
13/07/2018,38879
14/07/2018,37733
15/07/2018,37299
16/07/2018,41828
17/07/2018,43392
18/07/2018,43183
19/07/2018,42857
20/07/2018,40297
21/07/2018,38763
22/07/2018,37683
23/07/2018,42509
24/07/2018,44195
25/07/2018,44870
26/07/2018,43343
27/07/2018,34606
28/07/2018,41145
29/07/2018,18974
30/07/2018,38274
31/07/2018,42260
01/08/2018,43691
02/08/2018,43292
03/08/2018,40908
04/08/2018,39318
05/08/2018,40220
06/08/2018,41963
07/08/2018,40954
08/08/2018,42676
09/08/2018,20574
10/08/2018,29253
11/08/2018,33214
12/08/2018,23113
13/08/2018,36510
14/08/2018,40735
15/08/2018,40930
16/08/2018,28400
17/08/2018,36869
18/08/2018,31691
19/08/2018,32209
20/08/2018,37839
21/08/2018,40293
22/08/2018,38401
23/08/2018,34492
24/08/2018,27839
25/08/2018,25490
26/08/2018,8177
27/08/2018,25059
28/08/2018,34791
29/08/2018,27070
30/08/2018,37001
31/08/2018,35209
01/09/2018,35326
02/09/2018,35048
03/09/2018,36068
04/09/2018,36581
05/09/2018,36059
06/09/2018,34778
07/09/2018,35451
08/09/2018,28318
09/09/2018,30598
10/09/2018,36965
11/09/2018,37221
12/09/2018,33403
13/09/2018,38708
14/09/2018,35332
15/09/2018,33465
16/09/2018,32055
17/09/2018,39190
18/09/2018,38360
19/09/2018,37027
20/09/2018,35317
21/09/2018,32942
22/09/2018,12376
23/09/2018,13192
24/09/2018,34563
25/09/2018,36730
26/09/2018,39281
27/09/2018,39835
28/09/2018,35817
29/09/2018,32941
30/09/2018,25254
01/10/2018,34411
02/10/2018,37515
03/10/2018,38434
04/10/2018,36930
05/10/2018,39569
06/10/2018,10043
07/10/2018,25713
08/10/2018,35156
09/10/2018,39132
10/10/2018,39398
11/10/2018,35875
12/10/2018,35747
13/10/2018,36393
14/10/2018,10292
15/10/2018,28044
16/10/2018,37920
17/10/2018,30482
18/10/2018,35206
19/10/2018,34707
20/10/2018,32588
21/10/2018,32484
22/10/2018,34430
23/10/2018,34889
24/10/2018,35656
25/10/2018,34640
26/10/2018,27636
27/10/2018,18756
28/10/2018,13675
29/10/2018,29409
30/10/2018,30269
31/10/2018,32891
01/11/2018,23475
02/11/2018,31083
03/11/2018,25142
04/11/2018,21829
05/11/2018,31421
06/11/2018,33038
07/11/2018,27656
08/11/2018,32933
09/11/2018,27403
10/11/2018,14732
11/11/2018,18455
12/11/2018,26077
13/11/2018,32062
14/11/2018,33339
15/11/2018,33043
16/11/2018,28581
17/11/2018,20518
18/11/2018,9585
19/11/2018,18246
20/11/2018,15237
21/11/2018,25022
22/11/2018,26112
23/11/2018,25881
24/11/2018,15813
25/11/2018,14529
26/11/2018,27509
27/11/2018,22128
28/11/2018,22846
29/11/2018,25714
30/11/2018,28615
01/12/2018,14046
02/12/2018,15990
03/12/2018,25801
04/12/2018,28982
05/12/2018,23816
06/12/2018,16600
07/12/2018,18608
08/12/2018,16515
09/12/2018,15441
10/12/2018,27880
11/12/2018,28904
12/12/2018,27494
13/12/2018,25997
14/12/2018,24076
15/12/2018,8076
16/12/2018,12123
17/12/2018,24973
18/12/2018,20180
19/12/2018,22425
20/12/2018,23694
21/12/2018,19169
22/12/2018,13310
23/12/2018,6748
24/12/2018,10043
25/12/2018,35267
26/12/2018,10841
27/12/2018,12310
28/12/2018,13794
29/12/2018,13100
30/12/2018,12922
31/12/2018,16305
