Day,Number of Bicycle Hires
15/11/2019,21318
16/11/2019,18553
17/11/2019,18082
18/11/2019,28521
19/11/2019,28760
20/11/2019,29437
21/11/2019,27064
22/11/2019,24865
23/11/2019,14904
24/11/2019,15599
25/11/2019,25722
26/11/2019,26982
27/11/2019,26575
28/11/2019,26030
29/11/2019,28463
30/11/2019,18176
01/12/2019,14242
02/12/2019,27306
03/12/2019,29645
04/12/2019,29458
05/12/2019,28547
06/12/2019,21917
07/12/2019,19235
08/12/2019,15139
09/12/2019,27089
10/12/2019,24198
11/12/2019,27414
12/12/2019,19740
13/12/2019,23189
14/12/2019,14862
15/12/2019,14077
16/12/2019,24344
17/12/2019,19747
18/12/2019,24745
19/12/2019,21679
20/12/2019,14451
21/12/2019,9370
22/12/2019,10407
23/12/2019,15878
24/12/2019,10478
25/12/2019,34674
26/12/2019,5649
27/12/2019,11718
28/12/2019,11414
29/12/2019,12256
30/12/2019,16166
31/12/2019,13043
